company_name,contact_email,email_quality,quality_reason,website,confirmed_url,status
Ayona Villa,info@ayonavilla.com,medium,generic mailbox,https://www.ayonavilla.com,https://www.ayonavilla.com,mailing_ready
Azúr Drug store,info@azur.hu,medium,generic mailbox,https://www.azur.hu,https://www.azur.hu/,mailing_ready
Badeparadies Schwarzwald,info@badeparadies-schwarzwald.de,medium,generic mailbox,https://www.badeparadies-schwarzwald.de,https://www.badeparadies-schwarzwald.de,mailing_ready
Baka Stenugnsbageri,info@bakastenugnsbageri.se,medium,generic mailbox,https://bakastenugnsbageri.se,https://bakastenugnsbageri.se/,mailing_ready
Ballistol,info@ballistol.de,medium,generic mailbox,https://ballistol.de,https://ballistol.de/,mailing_ready
Bankovní identita,info@bankid.cz,medium,generic mailbox,https://www.bankid.cz,https://www.bankid.cz/,mailing_ready
Bartholet Maschinenbau,info@bartholet.swiss,medium,generic mailbox,https://www.bartholet.swiss,https://www.bartholet.swiss/de,mailing_ready
Basilico,info@basilicoeg.com,medium,generic mailbox,https://basilicoeg.com,https://basilicoeg.com/,mailing_ready
BAU-SYSTEME 92,info@bau92.hu,medium,generic mailbox,https://bau92.hu,https://bau92.hu/,mailing_ready
Bavaria Studios & Production Services,info@bavaria-studios.de,medium,generic mailbox,http://www.bavaria-studios.de,http://www.bavaria-studios.de/,mailing_ready
Bay’s - Asianfood & Sushi,info@bays-restaurant.de,medium,generic mailbox,https://www.bays-restaurant.de,https://www.bays-restaurant.de/,mailing_ready
Belgian Health Care Knowledge Centre,info@kce.fgov.be,medium,generic mailbox,https://kce.fgov.be,https://kce.fgov.be/contact-us,mailing_ready
Belgian National Orchestra,info@nationalorchestra.be,medium,generic mailbox,https://www.nationalorchestra.be,https://www.nationalorchestra.be/,mailing_ready
BeNEX,info@benex.de,medium,generic mailbox,https://benex.de,https://benex.de/,mailing_ready
BentBox,info@bentbox.co,medium,generic mailbox,https://bentbox.co,https://bentbox.co/cover,mailing_ready
BestFilm.eu,info@bestfilm.eu,medium,generic mailbox,https://www.bestfilm.eu,https://www.bestfilm.eu/,mailing_ready
Bildersturm Filmproduktion,info@bildersturm-film.de,medium,generic mailbox,https://www.bildersturm-film.de,https://www.bildersturm-film.de/,mailing_ready
Billion,info@bilioni.ge,medium,generic mailbox,https://bilioni.ge,https://bilioni.ge/,mailing_ready
Biotech Solution Company Limited,info@biotechng.com,medium,generic mailbox,https://www.biotechng.com,https://www.biotechng.com,mailing_ready
BIOVELA Group,info@biovela.lt,medium,generic mailbox,https://www.biovela.lt,https://www.biovela.lt/,mailing_ready
Biržų duona,info@birzuduona.lt,medium,generic mailbox,https://www.birzuduona.lt,https://www.birzuduona.lt/,mailing_ready
Black Angel,info@blackangel-halle.de,medium,generic mailbox,https://www.blackangel-halle.de,https://www.blackangel-halle.de,mailing_ready
Blitch Knevel Architects,info@blitchknevel.com,medium,generic mailbox,https://blitchknevel.com,https://blitchknevel.com/contact-us,mailing_ready
Bluemont New Zealand,info@bluemont.nz,medium,generic mailbox,https://www.bluemont.nz,https://www.bluemont.nz/,mailing_ready
Blueprint Media,info@bp-media.tv,medium,generic mailbox,https://www.bp-media.tv,https://www.bp-media.tv/,mailing_ready
Borough,info@boroughmpls.com,medium,generic mailbox,https://www.boroughmpls.com,https://www.boroughmpls.com/,mailing_ready
Bos Bros. Film & TV Productions,info@bosbros.com,medium,generic mailbox,http://www.bosbros.com,http://www.bosbros.com,mailing_ready
BrainWorks,contact@brainworks.tv,medium,generic mailbox,http://brainworks.tv,http://brainworks.tv/contact,mailing_ready
Brauerei Bosch,info@brauerei-bosch.de,medium,generic mailbox,http://www.brauerei-bosch.de,http://www.brauerei-bosch.de/,mailing_ready
Brauerei Faust Miltenberg,info@faust.de,medium,generic mailbox,https://faust.de,https://faust.de/,mailing_ready
BRAVE Management,info@bravemanagement.de,medium,generic mailbox,https://bravemanagement.de,https://bravemanagement.de,mailing_ready
Brewery De Troch,info@detroch.be,medium,generic mailbox,https://www.detroch.be,https://www.detroch.be/,mailing_ready
Brewery Strubbe,info@brouwerij-strubbe.be,medium,generic mailbox,https://www.brouwerij-strubbe.be,https://www.brouwerij-strubbe.be,mailing_ready
Brouwerij De Molen,info@brouwerijdemolen.nl,medium,generic mailbox,https://brouwerijdemolen.nl,https://brouwerijdemolen.nl/contact,mailing_ready
Brouwerij Kestemont,info@brouwerijkestemont.be,medium,generic mailbox,https://www.brouwerijkestemont.be,https://www.brouwerijkestemont.be/contact,mailing_ready
Brune-Mettcker Druck- und Verlagsgesellschaft,info@brune-mettcker.de,medium,generic mailbox,https://brune-mettcker.de,https://brune-mettcker.de/,mailing_ready
Båtshaket,info@batshaket.se,medium,generic mailbox,https://www.batshaket.se,https://www.batshaket.se/,mailing_ready
Cafe & Restaurant Spreewehrmühle,info@spreewehrmuehle.de,medium,generic mailbox,http://www.spreewehrmuehle.de,http://www.spreewehrmuehle.de/,mailing_ready
Café Libertad Kollektiv,info@cafe-libertad.de,medium,generic mailbox,https://www.cafe-libertad.de,https://www.cafe-libertad.de/,mailing_ready
CapeBio,info@capebiosa.com,medium,generic mailbox,https://capebiosa.com,https://capebiosa.com/,mailing_ready
Champagne Quatresols-Gauthier,contact@champagne-quatresols-gauthier.com,medium,generic mailbox,http://www.champagne-quatresols-gauthier.com,http://www.champagne-quatresols-gauthier.com/,mailing_ready
coopérative d'habitation des Moulins,contact@cooperativedesmoulins.ch,medium,generic mailbox,https://www.cooperativedesmoulins.ch,https://www.cooperativedesmoulins.ch/contact-us,mailing_ready
coopérative d’habitation du Chablais,contact@cohacha.ch,medium,generic mailbox,https://www.cohacha.ch,https://www.cohacha.ch/,mailing_ready
Federal Planning Bureau,contact@plan.be,medium,generic mailbox,https://www.plan.be,https://www.plan.be/contact,mailing_ready
Graphis,contact@graphis.ch,medium,generic mailbox,https://www.graphis.ch,https://www.graphis.ch,mailing_ready
Inkas Film Production,contact@inkasfilms.com,medium,generic mailbox,https://www.inkasfilms.com,https://www.inkasfilms.com/,mailing_ready
La Fabrique au Burkina Faso,contact@lafabrique-bf.com,medium,generic mailbox,https://www.lafabrique-bf.com,https://www.lafabrique-bf.com/,mailing_ready
Le Faham,contact@lefaham.com,medium,generic mailbox,https://lefaham.com,https://lefaham.com/,mailing_ready
Lester-Thompson Fine Art,contact@lesterthompsonfineart.com,medium,generic mailbox,https://www.lesterthompsonfineart.com,https://www.lesterthompsonfineart.com/,mailing_ready
librairie Vignes,contact@librairievignes.com,medium,generic mailbox,https://www.librairievignes.com,https://www.librairievignes.com/,mailing_ready
LTM Films,contact@ltmfilms.com,medium,generic mailbox,http://www.ltmfilms.com,http://www.ltmfilms.com/,mailing_ready
Maison Landemaine,contact@maisonlandemaine.com,medium,generic mailbox,https://maisonlandemaine.com,https://maisonlandemaine.com/,mailing_ready
Makansutra Gluttons Bay,contact@makansutra.com,medium,generic mailbox,https://makansutra.com,https://makansutra.com/,mailing_ready
Morphogenesis,contact@morphogenesis.org,medium,generic mailbox,https://www.morphogenesis.org,https://www.morphogenesis.org/,mailing_ready
Mother Production,contact@motherproduction.fr,medium,generic mailbox,https://www.motherproduction.fr,https://www.motherproduction.fr/contact,mailing_ready
NETexcom,contact@netexcom.com,medium,generic mailbox,https://www.netexcom.com,https://www.netexcom.com/,mailing_ready
Paydens,contact@paydens.com,medium,generic mailbox,https://www.paydens.com,https://www.paydens.com/,mailing_ready
Prolog Group,contact@prolog-group.com,medium,generic mailbox,https://www.prolog-group.com,https://www.prolog-group.com/en/,mailing_ready
ProSiebenSat.1 PULS 4,contact@prosiebensat1puls4.com,medium,generic mailbox,http://www.prosiebensat1puls4.com,http://www.prosiebensat1puls4.com/,mailing_ready
RockBridge Productions,contact@gorockbridge.com,medium,generic mailbox,http://www.gorockbridge.com,http://www.gorockbridge.com/,mailing_ready
VAPO,contact@vapo.co.nz,medium,generic mailbox,https://www.vapo.co.nz,https://www.vapo.co.nz,mailing_ready
Videolabs,contact@videolabs.io,medium,generic mailbox,https://videolabs.io,https://videolabs.io/,mailing_ready
W1TTY,contact@w1tty.com,medium,generic mailbox,https://www.w1tty.com,https://www.w1tty.com,mailing_ready
