company_name,contact_email,website,contact_url,signal_source_url,status,confirmed_url,note
Astera Villa Canggu,info@asteracanggu.com,https://www.asteracanggu.com,https://www.asteracanggu.com,https://www.asteracanggu.com,confirmed,https://www.asteracanggu.com,
AT-Prod,info@at-prod.com,https://at-prod.com,https://at-prod.com/,https://at-prod.com/contact,confirmed,https://at-prod.com/contact,
Atomium,info@atomium.be,https://atomium.be,https://atomium.be/,https://atomium.be/,confirmed,https://atomium.be/,
Aurora Productions,info@auroraprod.com,https://auroraprod.com,https://auroraprod.com/,https://auroraprod.com/contact,confirmed,https://auroraprod.com/contact,
AutoLPGas,info@lpgauto.ge,https://lpgauto.ge,https://lpgauto.ge,https://lpgauto.ge/contact,confirmed,https://lpgauto.ge/contact,
Auvergne-Rhône-Alpes Cinéma,contact@auvergnerhonealpes-cinema.fr,http://www.auvergnerhonealpes-cinema.fr,http://www.auvergnerhonealpes-cinema.fr/,http://www.auvergnerhonealpes-cinema.fr/,confirmed,http://www.auvergnerhonealpes-cinema.fr/,
AVU,info@avu.de,https://www.avu.de,https://www.avu.de/,https://www.avu.de/,confirmed,https://www.avu.de/,
Ayona Villa,info@ayonavilla.com,https://www.ayonavilla.com,https://www.ayonavilla.com,https://www.ayonavilla.com,confirmed,https://www.ayonavilla.com,
Azúr Drug store,info@azur.hu,https://www.azur.hu,https://www.azur.hu/,https://www.azur.hu/,confirmed,https://www.azur.hu/,
Badeparadies Schwarzwald,info@badeparadies-schwarzwald.de,https://www.badeparadies-schwarzwald.de,https://www.badeparadies-schwarzwald.de,https://www.badeparadies-schwarzwald.de,confirmed,https://www.badeparadies-schwarzwald.de,
Baka Stenugnsbageri,info@bakastenugnsbageri.se,https://bakastenugnsbageri.se,https://bakastenugnsbageri.se/,https://bakastenugnsbageri.se/,confirmed,https://bakastenugnsbageri.se/,
Ballistol,info@ballistol.de,https://ballistol.de,https://ballistol.de/,https://ballistol.de/,confirmed,https://ballistol.de/,
Bankovní identita,info@bankid.cz,https://www.bankid.cz,https://www.bankid.cz/,https://www.bankid.cz/,confirmed,https://www.bankid.cz/,
Bartholet Maschinenbau,info@bartholet.swiss,https://www.bartholet.swiss,https://www.bartholet.swiss/de,https://www.bartholet.swiss/de,confirmed,https://www.bartholet.swiss/de,
Basilico,info@basilicoeg.com,https://basilicoeg.com,https://basilicoeg.com/,https://basilicoeg.com/,confirmed,https://basilicoeg.com/,
BAU-SYSTEME 92,info@bau92.hu,https://bau92.hu,https://bau92.hu/,https://bau92.hu/,confirmed,https://bau92.hu/,
Bavaria Studios & Production Services,info@bavaria-studios.de,http://www.bavaria-studios.de,http://www.bavaria-studios.de/,http://www.bavaria-studios.de/,confirmed,http://www.bavaria-studios.de/,
Bay’s - Asianfood & Sushi,info@bays-restaurant.de,https://www.bays-restaurant.de,https://www.bays-restaurant.de/,https://www.bays-restaurant.de/,confirmed,https://www.bays-restaurant.de/,
Belgian Health Care Knowledge Centre,info@kce.fgov.be,https://kce.fgov.be,https://kce.fgov.be/,https://kce.fgov.be/contact-us,confirmed,https://kce.fgov.be/contact-us,
Belgian National Orchestra,info@nationalorchestra.be,https://www.nationalorchestra.be,https://www.nationalorchestra.be/,https://www.nationalorchestra.be/,confirmed,https://www.nationalorchestra.be/,
BeNEX,info@benex.de,https://benex.de,https://benex.de/,https://benex.de/,confirmed,https://benex.de/,
BentBox,info@bentbox.co,https://bentbox.co,https://bentbox.co/cover,https://bentbox.co/cover,confirmed,https://bentbox.co/cover,
BestFilm.eu,info@bestfilm.eu,https://www.bestfilm.eu,https://www.bestfilm.eu/,https://www.bestfilm.eu/,confirmed,https://www.bestfilm.eu/,
Bildersturm Filmproduktion,info@bildersturm-film.de,https://www.bildersturm-film.de,https://www.bildersturm-film.de/,https://www.bildersturm-film.de/,confirmed,https://www.bildersturm-film.de/,
Billion,info@bilioni.ge,https://bilioni.ge,https://bilioni.ge/,https://bilioni.ge/,confirmed,https://bilioni.ge/,
Biotech Solution Company Limited,info@biotechng.com,https://www.biotechng.com,https://www.biotechng.com,https://www.biotechng.com,confirmed,https://www.biotechng.com,
BIOVELA Group,info@biovela.lt,https://www.biovela.lt,https://www.biovela.lt/,https://www.biovela.lt/,confirmed,https://www.biovela.lt/,
Biržų duona,info@birzuduona.lt,https://www.birzuduona.lt,https://www.birzuduona.lt/,https://www.birzuduona.lt/,confirmed,https://www.birzuduona.lt/,
Black Angel,info@blackangel-halle.de,https://www.blackangel-halle.de,https://www.blackangel-halle.de,https://www.blackangel-halle.de,confirmed,https://www.blackangel-halle.de,
Blitch Knevel Architects,info@blitchknevel.com,https://blitchknevel.com,https://blitchknevel.com/,https://blitchknevel.com/contact-us,confirmed,https://blitchknevel.com/contact-us,
Bluemont New Zealand,info@bluemont.nz,https://www.bluemont.nz,https://www.bluemont.nz/,https://www.bluemont.nz/,confirmed,https://www.bluemont.nz/,
Blueprint Media,info@bp-media.tv,https://www.bp-media.tv,https://www.bp-media.tv/,https://www.bp-media.tv/,confirmed,https://www.bp-media.tv/,
Borough,info@boroughmpls.com,https://www.boroughmpls.com,https://www.boroughmpls.com/,https://www.boroughmpls.com/,confirmed,https://www.boroughmpls.com/,
Bos Bros. Film & TV Productions,info@bosbros.com,http://www.bosbros.com,http://www.bosbros.com,http://www.bosbros.com,confirmed,http://www.bosbros.com,
BrainWorks,contact@brainworks.tv,http://brainworks.tv,http://brainworks.tv/,http://brainworks.tv/contact,confirmed,http://brainworks.tv/contact,
Brauerei Bosch,info@brauerei-bosch.de,http://www.brauerei-bosch.de,http://www.brauerei-bosch.de/,http://www.brauerei-bosch.de/,confirmed,http://www.brauerei-bosch.de/,
Brauerei Faust Miltenberg,info@faust.de,https://faust.de,https://faust.de/,https://faust.de/,confirmed,https://faust.de/,
BRAVE Management,info@bravemanagement.de,https://bravemanagement.de,https://bravemanagement.de,https://bravemanagement.de,confirmed,https://bravemanagement.de,
Brewery De Troch,info@detroch.be,https://www.detroch.be,https://www.detroch.be/,https://www.detroch.be/,confirmed,https://www.detroch.be/,
Brewery Strubbe,info@brouwerij-strubbe.be,https://www.brouwerij-strubbe.be,https://www.brouwerij-strubbe.be,https://www.brouwerij-strubbe.be,confirmed,https://www.brouwerij-strubbe.be,
Brouwerij De Molen,info@brouwerijdemolen.nl,https://brouwerijdemolen.nl,https://brouwerijdemolen.nl/,https://brouwerijdemolen.nl/contact,confirmed,https://brouwerijdemolen.nl/contact,
Brouwerij Kestemont,info@brouwerijkestemont.be,https://www.brouwerijkestemont.be,https://www.brouwerijkestemont.be/,https://www.brouwerijkestemont.be/contact,confirmed,https://www.brouwerijkestemont.be/contact,
Brune-Mettcker Druck- und Verlagsgesellschaft,info@brune-mettcker.de,https://brune-mettcker.de,https://brune-mettcker.de/,https://brune-mettcker.de/,confirmed,https://brune-mettcker.de/,
Båtshaket,info@batshaket.se,https://www.batshaket.se,https://www.batshaket.se/,https://www.batshaket.se/,confirmed,https://www.batshaket.se/,
Cafe & Restaurant Spreewehrmühle,info@spreewehrmuehle.de,http://www.spreewehrmuehle.de,http://www.spreewehrmuehle.de/,http://www.spreewehrmuehle.de/,confirmed,http://www.spreewehrmuehle.de/,
Café Libertad Kollektiv,info@cafe-libertad.de,https://www.cafe-libertad.de,https://www.cafe-libertad.de/,https://www.cafe-libertad.de/,confirmed,https://www.cafe-libertad.de/,
CapeBio,info@capebiosa.com,https://capebiosa.com,https://capebiosa.com/,https://capebiosa.com/,confirmed,https://capebiosa.com/,
Champagne Quatresols-Gauthier,contact@champagne-quatresols-gauthier.com,http://www.champagne-quatresols-gauthier.com,http://www.champagne-quatresols-gauthier.com/,http://www.champagne-quatresols-gauthier.com/,confirmed,http://www.champagne-quatresols-gauthier.com/,
coopérative d'habitation des Moulins,contact@cooperativedesmoulins.ch,https://www.cooperativedesmoulins.ch,https://www.cooperativedesmoulins.ch/,https://www.cooperativedesmoulins.ch/contact-us,confirmed,https://www.cooperativedesmoulins.ch/contact-us,
coopérative d’habitation du Chablais,contact@cohacha.ch,https://www.cohacha.ch,https://www.cohacha.ch/,https://www.cohacha.ch/,confirmed,https://www.cohacha.ch/,
Federal Planning Bureau,contact@plan.be,https://www.plan.be,https://www.plan.be,https://www.plan.be/contact,confirmed,https://www.plan.be/contact,
Graphis,contact@graphis.ch,https://www.graphis.ch,https://www.graphis.ch,https://www.graphis.ch,confirmed,https://www.graphis.ch,
Inkas Film Production,contact@inkasfilms.com,https://www.inkasfilms.com,https://www.inkasfilms.com/,https://www.inkasfilms.com/,confirmed,https://www.inkasfilms.com/,
La Fabrique au Burkina Faso,contact@lafabrique-bf.com,https://www.lafabrique-bf.com,https://www.lafabrique-bf.com/,https://www.lafabrique-bf.com/,confirmed,https://www.lafabrique-bf.com/,
Le Faham,contact@lefaham.com,https://lefaham.com,https://lefaham.com/,https://lefaham.com/,confirmed,https://lefaham.com/,
Lester-Thompson Fine Art,contact@lesterthompsonfineart.com,https://www.lesterthompsonfineart.com,https://www.lesterthompsonfineart.com/,https://www.lesterthompsonfineart.com/,confirmed,https://www.lesterthompsonfineart.com/,
librairie Vignes,contact@librairievignes.com,https://www.librairievignes.com,https://www.librairievignes.com/,https://www.librairievignes.com/,confirmed,https://www.librairievignes.com/,
LTM Films,contact@ltmfilms.com,http://www.ltmfilms.com,http://www.ltmfilms.com/,http://www.ltmfilms.com/,confirmed,http://www.ltmfilms.com/,
Maison Landemaine,contact@maisonlandemaine.com,https://maisonlandemaine.com,https://maisonlandemaine.com/,https://maisonlandemaine.com/,confirmed,https://maisonlandemaine.com/,
Makansutra Gluttons Bay,contact@makansutra.com,https://makansutra.com,https://makansutra.com/,https://makansutra.com/,confirmed,https://makansutra.com/,
Morphogenesis,contact@morphogenesis.org,https://www.morphogenesis.org,https://www.morphogenesis.org/,https://www.morphogenesis.org/,confirmed,https://www.morphogenesis.org/,
Mother Production,contact@motherproduction.fr,https://www.motherproduction.fr,https://www.motherproduction.fr/,https://www.motherproduction.fr/contact,confirmed,https://www.motherproduction.fr/contact,
NETexcom,contact@netexcom.com,https://www.netexcom.com,https://www.netexcom.com/,https://www.netexcom.com/,confirmed,https://www.netexcom.com/,
Paydens,contact@paydens.com,https://www.paydens.com,https://www.paydens.com/,https://www.paydens.com/,confirmed,https://www.paydens.com/,
Prolog Group,contact@prolog-group.com,https://www.prolog-group.com,https://www.prolog-group.com/en/,https://www.prolog-group.com/en/,confirmed,https://www.prolog-group.com/en/,
ProSiebenSat.1 PULS 4,contact@prosiebensat1puls4.com,http://www.prosiebensat1puls4.com,http://www.prosiebensat1puls4.com/,http://www.prosiebensat1puls4.com/,confirmed,http://www.prosiebensat1puls4.com/,
RockBridge Productions,contact@gorockbridge.com,http://www.gorockbridge.com,http://www.gorockbridge.com/,http://www.gorockbridge.com/,confirmed,http://www.gorockbridge.com/,
VAPO,contact@vapo.co.nz,https://www.vapo.co.nz,https://www.vapo.co.nz,https://www.vapo.co.nz,confirmed,https://www.vapo.co.nz,
Videolabs,contact@videolabs.io,https://videolabs.io,https://videolabs.io/,https://videolabs.io/,confirmed,https://videolabs.io/,
W1TTY,contact@w1tty.com,https://www.w1tty.com,https://www.w1tty.com,https://www.w1tty.com,confirmed,https://www.w1tty.com,
